Nome do jogador,Posição do jogador,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Alexander Díaz,Atacante,1,0,1,1,0.7,0.7,0.6,1.4,12,6,20,0.40,0.00,0.40,0.40,0.40,0.29,0.26,0.56,0.56,4,3,75.0,1.61,1.21,0.25,0.33,24.4,0,0,0.18,+0.3,+0.3,28,41,68.3,462,148,18,19,94.7,5,12,41.7,3,5,60.0,0.2,-0.6,4,2,2,0,41,0,0,1,0,7,28,9,3.63,5,0,2,0,1,1,0,0.00,0,0,0,0,0,0,7,6,3,2,2,4,5,80.0,1,1,1,0,2,9,1,0,97,1,10,36,55,11,97,17,9,52.9,7,41.2,63,495,236,8,3,64,12,11,5,18,21.7
Mateo Díaz Chaves,Meio-campista,0,0,0,0,0.2,0.2,0.1,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.22,0.10,0.32,0.32,2,1,50.0,2.61,1.30,0.00,0.00,13.4,0,0,0.09,-0.2,-0.2,16,21,76.2,224,27,10,11,90.9,6,7,85.7,0,1,0.0,0.1,-0.1,1,0,1,0,19,2,0,0,0,0,16,2,2.61,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0,34,0,3,11,21,4,34,4,1,25.0,3,75.0,18,74,30,0,0,22,1,3,4,4,50.0
Damián Díaz,Meio-campista,1,1,2,1,0.4,0.4,0.8,1.2,7,24,13,0.30,0.30,0.60,0.30,0.60,0.12,0.23,0.35,0.35,5,3,60.0,1.51,0.90,0.20,0.33,24.9,2,0,0.08,+0.6,+0.6,99,154,64.3,1750,702,40,48,83.3,40,57,70.2,13,33,39.4,0.9,+0.2,12,13,5,1,115,35,13,1,2,35,99,18,5.42,9,7,1,0,1,0,2,0.60,1,1,0,0,0,0,6,4,3,2,1,4,5,80.0,1,3,1,2,3,9,1,0,183,2,15,95,76,4,183,8,5,62.5,3,37.5,84,468,253,8,0,108,9,16,3,1,75.0
Enzo Díaz,Defensor,0,0,0,0,0.1,0.1,0.4,0.5,18,52,81,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.07,5,2,40.0,0.65,0.26,0.00,0.00,22.8,0,0,0.03,-0.1,-0.1,480,586,81.9,7315,2164,274,296,92.6,159,196,81.1,29,55,52.7,0.8,-0.4,11,42,10,7,511,71,5,0,4,46,480,20,2.59,18,0,0,0,2,0,1,0.13,1,0,0,0,0,0,24,19,18,6,0,12,19,63.2,7,17,4,13,17,41,12,0,689,14,135,325,232,8,689,19,7,36.8,11,57.9,399,1839,1007,17,0,452,16,48,10,12,45.5
Franco Díaz,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.06,1,0,0.0,2.00,0.00,0.00,0,28.2,0,0,0.02,0.0,0.0,20,30,66.7,266,117,16,18,88.9,3,7,42.9,1,4,25.0,0.0,0.0,1,4,1,0,27,3,1,1,0,3,20,3,6.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,35,1,3,18,14,0,35,2,1,50.0,1,50.0,27,126,38,3,0,26,0,5,0,0,0
Franco Díaz,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,8,17,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,68,89,76.4,1012,366,46,54,85.2,19,23,82.6,3,8,37.5,0.1,0.0,1,9,2,0,84,5,4,1,0,1,68,2,1.12,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,5,5,2,3,0,2,3,66.7,1,3,0,3,2,7,3,0,115,3,18,69,29,2,115,4,2,50.0,2,50.0,65,465,282,3,1,67,4,13,1,1,50.0
Gabriel Díaz,Defensor,0,0,0,0,0.2,0.2,0.1,0.3,4,17,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.05,5,0,0.0,0.99,0.00,0.00,0,23.5,0,0,0.03,-0.2,-0.2,100,178,56.2,1903,1087,36,52,69.2,46,72,63.9,13,43,30.2,0.2,-0.1,2,13,0,0,110,67,11,0,0,18,100,9,1.78,6,3,0,0,0,0,1,0.20,1,0,0,0,0,0,10,6,3,5,2,6,11,54.5,5,3,1,2,9,19,10,0,231,11,65,97,70,3,231,4,1,25.0,3,75.0,75,448,195,9,0,81,0,28,3,2,60.0
Leandro Díaz,Atacante,0,0,0,0,0.5,0.5,0.0,0.5,3,1,8,0.00,0.00,0.00,0.00,0.00,0.24,0.02,0.27,0.27,7,2,28.6,3.68,1.05,0.00,0.00,16.4,0,0,0.07,-0.5,-0.5,15,37,40.5,256,72,7,16,43.8,7,14,50.0,1,3,33.3,0.0,0.0,2,2,0,0,33,4,0,0,0,2,15,2,1.05,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,1,8,23,29,11,60,7,3,42.9,4,57.1,36,141,54,0,2,45,2,6,6,3,66.7
Paulo Díaz,Defensor,0,0,0,0,0.6,0.6,0.7,1.4,12,85,5,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.11,12,2,16.7,0.93,0.16,0.00,0.00,17.0,0,0,0.05,-0.6,-0.6,906,1049,86.4,19562,8548,271,307,88.3,465,513,90.6,163,207,78.7,0.6,-0.7,4,97,6,2,1000,46,42,1,18,2,906,18,1.40,16,1,0,1,0,0,0,0.00,0,0,0,0,0,0,15,12,10,4,1,5,9,55.6,4,10,4,6,25,40,36,1,1160,85,483,636,48,13,1160,5,2,40.0,3,60.0,723,3474,2086,11,0,784,10,84,41,32,56.2
Álvaro Dionisio,Defensor,0,0,0,0,0.4,0.4,0.0,0.4,0,2,2,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.51,2,1,50.0,2.86,1.43,0.00,0.00,18.4,0,0,0.18,-0.4,-0.4,22,26,84.6,384,78,8,8,100.0,14,15,93.3,0,3,0.0,0.0,0.0,0,0,0,0,17,9,0,0,0,0,22,1,1.43,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,33,0,6,23,4,1,33,4,1,25.0,3,75.0,13,55,37,1,0,18,2,1,0,2,0.0
Jerónimo Domina,Meio-campista,2,0,2,2,0.4,0.4,0.0,0.4,5,4,11,1.29,0.00,1.29,1.29,1.29,0.26,0.02,0.28,0.28,8,4,50.0,5.14,2.57,0.25,0.50,22.5,0,0,0.05,+1.6,+1.6,34,55,61.8,678,193,11,19,57.9,17,23,73.9,5,7,71.4,0.0,0.0,1,5,0,0,52,3,0,0,0,3,34,6,3.86,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,0,3,0.0,3,1,0,1,0,1,1,0,81,1,10,29,43,10,81,7,3,42.9,4,57.1,41,233,120,3,5,51,2,11,1,4,20.0
Alexis Dominguez,Atacante,1,1,2,1,1.0,1.0,0.1,1.2,5,7,26,0.15,0.15,0.30,0.15,0.30,0.16,0.02,0.18,0.18,10,2,20.0,1.52,0.30,0.10,0.50,16.8,0,0,0.10,0.0,0.0,89,140,63.6,1293,193,50,69,72.5,26,47,55.3,7,9,77.8,0.2,+0.9,5,6,1,0,127,13,0,1,2,0,89,11,1.67,9,0,0,2,0,0,1,0.15,1,0,0,0,0,0,5,2,2,3,0,4,5,80.0,1,4,2,2,0,5,5,0,207,6,13,121,74,19,207,7,0,0.0,7,100.0,98,396,118,2,4,162,2,9,41,42,49.4
Benjamín Domínguez,Atacante,2,1,3,1,2.1,1.3,1.9,3.1,32,21,109,0.19,0.09,0.28,0.09,0.19,0.19,0.18,0.37,0.30,28,14,50.0,2.62,1.31,0.04,0.07,22.6,0,1,0.05,-0.1,-0.3,182,265,68.7,2640,759,108,137,78.8,52,69,75.4,13,25,52.0,2.1,-0.9,13,13,11,4,249,12,0,1,1,37,182,37,3.47,21,1,7,4,4,0,3,0.28,3,0,0,0,0,0,10,7,3,3,4,2,17,11.8,15,10,0,10,4,14,2,0,428,1,32,133,271,47,427,60,22,36.7,37,61.7,260,1929,858,23,14,292,16,59,6,5,54.5
Jose Domínguez,Defensor,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,1,1,100.0,8,7,1,1,100.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,100.0
Nery Domínguez,Defensor,0,0,0,0,0.0,0.0,0.1,0.1,4,38,5,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,1,0,0.0,0.11,0.00,0.00,0,33.6,0,0,0.01,0.0,0.0,305,403,75.7,6479,2760,95,107,88.8,157,183,85.8,50,102,49.0,0.1,-0.1,1,28,1,0,371,30,26,2,3,2,305,8,0.91,7,0,0,0,1,0,2,0.23,2,0,0,0,0,0,16,9,12,4,0,10,14,71.4,4,10,4,6,12,28,38,0,481,47,217,252,16,0,481,5,2,40.0,3,60.0,210,906,501,2,0,243,7,57,9,4,69.2
Nicolás Dubersarsky,Meio-campista,0,1,1,0,0.0,0.0,0.1,0.2,6,35,5,0.00,0.10,0.10,0.00,0.10,0.00,0.01,0.01,0.01,3,0,0.0,0.29,0.00,0.00,0,31.6,0,0,0.01,0.0,0.0,271,342,79.2,4565,1872,119,146,81.5,119,138,86.2,22,36,61.1,0.1,+0.9,4,43,0,0,330,12,10,0,1,1,271,7,0.67,7,0,0,0,0,0,1,0.10,1,0,0,0,0,0,28,16,12,15,1,13,21,61.9,8,20,2,18,12,40,22,0,452,25,137,284,37,2,452,8,4,50.0,3,37.5,166,859,356,2,0,198,8,72,5,10,33.3
Facundo Echevarría,Atacante,0,1,1,0,0.2,0.2,0.6,0.8,5,9,20,0.00,0.39,0.39,0.00,0.39,0.10,0.22,0.32,0.32,7,0,0.0,2.70,0.00,0.00,0,22.7,0,0,0.04,-0.2,-0.2,46,70,65.7,716,170,25,32,78.1,15,21,71.4,4,9,44.4,0.3,+0.4,6,7,1,0,68,2,0,1,0,6,46,9,3.48,8,0,1,0,0,0,2,0.77,1,0,1,0,0,0,4,0,2,1,1,1,3,33.3,2,2,0,2,3,7,6,0,109,5,15,44,52,6,109,5,2,40.0,3,60.0,59,298,145,4,1,67,3,10,4,10,28.6
Claudio Echeverri,Meio-campista,2,0,2,2,1.8,1.8,1.4,3.2,21,49,66,0.28,0.00,0.28,0.28,0.28,0.25,0.19,0.44,0.44,20,8,40.0,2.79,1.12,0.10,0.25,21.1,2,0,0.09,+0.2,+0.2,297,387,76.7,4958,1177,155,183,84.7,106,133,79.7,31,52,59.6,1.4,-1.4,17,33,16,4,355,31,10,3,3,33,297,38,5.29,28,3,2,2,2,1,1,0.14,1,0,0,0,0,0,10,8,2,5,3,5,8,62.5,3,7,0,7,1,11,3,0,494,1,23,241,240,36,494,37,17,45.9,18,48.6,363,1851,855,24,9,388,20,39,2,4,33.3
Marcos Echeverría,Atacante,0,0,0,0,0.2,0.2,0.0,0.2,1,1,4,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,2,0,0.0,2.14,0.00,0.00,0,7.7,0,0,0.09,-0.2,-0.2,11,24,45.8,162,30,7,13,53.8,3,7,42.9,0,1,0.0,0.0,0.0,0,0,0,0,21,2,0,0,0,0,11,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,5,2,1,4,0,2,4,50.0,2,1,0,1,0,5,2,0,41,2,6,20,15,8,41,2,1,50.0,1,50.0,17,77,36,1,0,27,0,1,4,4,50.0
Rodrigo Echeverría,Meio-campista,2,0,2,2,0.8,0.8,0.7,1.5,4,57,24,0.14,0.00,0.14,0.14,0.14,0.06,0.05,0.11,0.11,10,6,60.0,0.71,0.43,0.20,0.33,13.3,0,0,0.08,+1.2,+1.2,473,593,79.8,7786,2472,231,271,85.2,185,223,83.0,39,59,66.1,0.5,-0.7,10,45,7,2,569,21,13,0,1,4,473,24,1.71,20,0,0,2,0,2,2,0.14,1,0,0,0,0,1,41,32,16,23,2,23,48,47.9,25,21,4,17,19,60,24,0,756,33,180,460,121,29,756,17,8,47.1,9,52.9,319,1268,533,10,2,417,9,78,26,25,51.0
Jalil Elías,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,52,72,72.2,816,238,24,34,70.6,24,29,82.8,2,4,50.0,0.0,0.0,0,1,0,0,69,3,3,0,0,0,52,3,1.78,3,0,0,0,0,0,1,0.59,1,0,0,0,0,0,8,6,2,4,2,1,2,50.0,1,2,0,2,1,9,2,0,91,0,16,67,8,0,91,2,1,50.0,1,50.0,30,134,38,0,0,37,1,7,7,4,63.6
Gastón Emanuel Moreyra,Meio-campista,0,0,0,0,0.1,0.1,0.4,0.5,5,15,6,0.00,0.00,0.00,0.00,0.00,0.02,0.12,0.14,0.14,3,0,0.0,0.84,0.00,0.00,0,27.3,0,0,0.03,-0.1,-0.1,89,131,67.9,1448,575,41,50,82.0,33,47,70.2,10,21,47.6,1.2,-0.4,7,8,3,0,117,13,7,2,0,15,89,16,4.47,7,7,1,0,1,0,0,0.00,0,0,0,0,0,0,4,3,2,2,0,3,6,50.0,3,6,0,6,1,5,0,0,176,1,18,102,59,7,176,9,2,22.2,6,66.7,90,486,186,7,2,114,2,14,3,2,60.0
Player,Outros,Gls,Ast,G+A,G-PK,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PKatt,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,Cmp,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Rec,Fld,Recov,Won,Lost,Won%
Guillermo Enrique,Defensor,0,0,0,0,0.0,0.0,0.2,0.2,4,6,5,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.06,2,0,0.0,0.59,0.00,0.00,0,30.6,0,0,0.02,0.0,0.0,65,121,53.7,1175,459,28,35,80.0,30,48,62.5,7,36,19.4,0.1,-0.2,2,1,1,1,80,41,0,0,2,7,65,6,1.78,2,2,1,0,0,1,1,0.30,0,0,0,0,0,1,11,6,4,5,2,7,11,63.6,4,9,2,7,6,17,14,0,179,16,61,90,29,0,179,4,1,25.0,3,75.0,52,310,160,1,0,60,0,15,5,4,55.6
Guillermo Enrique,Defensor,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,2.43,2.43,2.43,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,3,5,60.0,103,85,1,3,33.3,0,0,0,2,2,100.0,0.1,-0.3,1,1,1,1,5,0,0,0,0,1,3,1,8.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,1,0,6,0,0,0,0,0,3,6,4,0,0,4,0,1,0,0,0
Julián Eseiza,Atacante,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,5,9,55.6,81,24,2,2,100.0,3,7,42.9,0,0,0,0.0,0.0,0,0,0,0,9,0,0,0,0,0,5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,2,0,13,1,7,4,2,1,13,0,0,0,0,0,7,17,1,0,0,6,0,4,0,0,0
Matias Espíndola,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,7,12,58.3,131,25,3,4,75.0,3,5,60.0,1,2,50.0,0.0,0.0,1,0,0,0,10,2,2,0,0,2,7,2,9.47,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14,0,1,5,8,0,14,1,1,100.0,0,0.0,11,46,21,0,0,11,1,3,0,1,0.0
Juan Esquivel,Atacante,0,0,0,0,0.1,0.1,0.0,0.1,4,0,7,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,3,0,0.0,6.00,0.00,0.00,0,21.1,0,0,0.02,-0.1,-0.1,7,15,46.7,112,10,4,4,100.0,3,10,30.0,0,1,0.0,0.0,0.0,0,0,0,0,13,2,0,0,0,6,7,1,2.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0,26,0,2,8,17,2,26,7,3,42.9,4,57.1,20,129,47,1,1,20,0,2,0,0,0
Juan Esquivel,Atacante,0,0,0,0,0.1,0.1,0.1,0.1,1,0,8,0.00,0.00,0.00,0.00,0.00,0.20,0.12,0.32,0.32,3,1,33.3,6.75,2.25,0.00,0.00,20.9,0,0,0.03,-0.1,-0.1,11,15,73.3,108,11,8,9,88.9,1,3,33.3,0,0,0,0.0,-0.1,1,0,0,0,15,0,0,0,0,2,11,2,4.50,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,10,15,4,27,2,0,0.0,2,100.0,14,55,21,2,1,19,0,0,1,0,100.0
Matías Esquivel,Meio-campista,0,0,0,0,0.0,0.0,0.2,0.2,2,15,4,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.09,0.09,1,0,0.0,0.47,0.00,0.00,0,27.8,1,0,0.03,0.0,0.0,94,131,71.8,1542,425,50,59,84.7,33,41,80.5,9,24,37.5,0.2,-0.2,4,12,3,1,121,9,4,2,2,8,94,10,4.71,8,0,0,0,1,1,1,0.47,1,0,0,0,0,0,5,1,2,2,1,4,7,57.1,3,6,0,6,3,8,0,0,159,0,17,96,49,0,159,12,5,41.7,7,58.3,93,463,196,2,0,106,4,14,1,1,50.0
Marcelo Estigarribia,Atacante,3,2,5,3,2.5,1.7,1.2,3.0,7,23,43,0.36,0.24,0.60,0.36,0.60,0.30,0.15,0.45,0.36,17,5,29.4,2.04,0.60,0.18,0.60,12.8,0,1,0.10,+0.5,+1.3,135,236,57.2,1853,487,76,120,63.3,41,59,69.5,7,19,36.8,0.6,+0.8,7,20,4,0,226,8,0,1,1,6,135,23,2.76,16,0,0,4,3,0,4,0.48,3,0,0,1,0,0,7,3,3,3,1,3,6,50.0,3,12,3,9,2,9,14,0,346,19,41,138,169,41,345,8,1,12.5,6,75.0,152,530,189,7,3,251,12,17,57,35,62.0
Yair Ezequiel Arismendi,Defensor,0,0,0,0,0.3,0.3,0.9,1.2,7,23,18,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.10,10,3,30.0,0.85,0.26,0.00,0.00,24.0,0,0,0.03,-0.3,-0.3,179,369,48.5,3451,2159,67,95,70.5,89,156,57.1,22,90,24.4,0.7,-0.9,5,21,4,3,242,125,2,0,1,26,179,20,1.70,14,1,0,1,3,1,2,0.17,0,0,0,0,1,1,28,19,16,10,2,18,33,54.5,15,21,7,14,17,45,62,0,550,66,242,205,107,8,550,9,3,33.3,3,33.3,144,786,265,7,0,143,19,45,14,12,53.8
Frank Fabra,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,2,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,24,45,53.3,379,62,16,24,66.7,6,11,54.5,2,6,33.3,0.0,0.0,1,3,0,0,41,4,1,0,0,5,24,1,1.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,53,1,2,26,25,2,53,2,1,50.0,1,50.0,25,109,44,0,0,41,2,2,6,2,75.0
Francisco Facello,Defensor,0,0,0,0,0.0,0.0,0.1,0.1,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,42,72,58.3,807,356,16,17,94.1,20,34,58.8,6,17,35.3,0.1,-0.1,1,2,1,0,51,21,0,0,0,1,42,1,0.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,6,4,3,3,0,3,5,60.0,2,3,1,2,4,10,8,0,97,10,41,42,17,1,97,2,1,50.0,0,0.0,38,113,57,0,0,37,3,12,1,2,33.3
Kevin Facundo Gutiérrez,Meio-campista,0,0,0,0,0.4,0.4,0.2,0.6,8,98,7,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.05,15,2,13.3,1.07,0.14,0.00,0.00,28.0,3,0,0.03,-0.4,-0.4,641,780,82.2,12481,5355,239,268,89.2,295,334,88.3,95,148,64.2,0.7,-0.2,7,101,6,0,732,43,39,2,5,8,641,24,1.71,22,2,0,0,0,0,1,0.07,1,0,0,0,0,0,25,13,9,15,1,13,28,46.4,15,14,7,7,11,36,13,0,885,32,224,594,76,1,885,16,9,56.3,6,37.5,478,2055,956,14,0,584,7,94,2,9,18.2
Valentín Fascendini,Defensor,0,0,0,0,0.1,0.1,0.0,0.1,3,2,2,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.14,2,0,0.0,2.50,0.00,0.00,0,15.0,0,0,0.04,-0.1,-0.1,14,23,60.9,289,112,7,8,87.5,2,5,40.0,4,6,66.7,0.1,0.0,1,1,2,1,21,2,0,0,1,2,14,4,4.93,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,13,8,6,6,1,4,4,100.0,0,5,2,3,1,14,4,0,52,8,22,21,11,3,52,4,3,75.0,1,25.0,17,124,40,3,1,16,2,5,1,1,50.0
Federico Fattori,Meio-campista,0,1,1,0,0.1,0.1,0.3,0.3,3,56,2,0.00,0.11,0.11,0.00,0.11,0.01,0.03,0.04,0.04,3,1,33.3,0.34,0.11,0.00,0.00,24.0,0,0,0.02,-0.1,-0.1,417,510,81.8,8011,2488,149,175,85.1,210,245,85.7,47,66,71.2,0.4,+0.7,4,34,5,2,497,11,11,0,7,6,417,16,1.80,14,1,0,0,0,1,1,0.11,1,0,0,0,0,0,23,16,8,15,0,7,22,31.8,15,18,3,15,11,34,22,0,607,26,175,392,46,1,607,7,5,71.4,2,28.6,313,1131,550,4,0,350,5,69,6,12,33.3
Juan Fedorco,Defensor,0,0,0,0,0.1,0.1,0.1,0.2,2,22,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,2,1,50.0,0.20,0.10,0.00,0.00,10.4,0,0,0.06,-0.1,-0.1,292,392,74.5,6485,2738,76,88,86.4,165,202,81.7,49,91,53.8,0.1,-0.1,2,9,0,0,364,28,27,0,5,0,292,3,0.30,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,14,10,7,6,1,10,14,71.4,4,15,5,10,13,27,55,0,500,83,294,201,11,7,500,3,2,66.7,1,33.3,229,1123,548,2,2,252,6,31,22,20,52.4
Damián Fernández,Defensor,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,140,184,76.1,2783,997,49,59,83.1,74,86,86.0,15,33,45.5,0.0,0.0,1,6,0,0,172,12,11,0,5,0,140,2,0.55,2,0,0,0,0,0,1,0.28,1,0,0,0,0,0,3,2,1,2,0,2,4,50.0,2,3,0,3,7,10,16,0,222,25,121,101,2,0,222,1,0,0.0,1,100.0,103,642,375,0,0,97,0,26,8,5,61.5
