Nome do jogador,Posição do jogador,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Valentino Acuña,Meio-campista,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,13,18,72.2,193,22,8,11,72.7,5,6,83.3,0,0,0,0.0,0.0,0,2,0,0,17,1,0,0,0,0,13,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,6,11,6,1,22,0,0,0,0,0,5,20,8,1,0,10,0,2,1,0,100.0
Walter Acuña,Atacante,0,0,0,0,0.2,0.2,0.1,0.3,2,5,7,0.00,0.00,0.00,0.00,0.00,0.16,0.05,0.21,0.21,3,2,66.7,2.39,1.59,0.00,0.00,20.1,1,0,0.07,-0.2,-0.2,17,40,42.5,324,157,5,10,50.0,7,11,63.6,4,9,44.4,0.4,-0.1,1,2,5,1,32,8,6,0,0,8,17,5,3.98,2,0,0,1,2,0,0,0.00,0,0,0,0,0,0,5,1,0,2,3,0,2,0.0,2,1,0,1,1,6,0,0,64,0,1,21,42,6,64,4,1,25.0,2,50.0,24,108,38,1,1,36,5,3,2,8,20.0
Luis Advíncula,Defensor,0,1,1,0,0.6,0.6,0.5,1.1,13,29,27,0.00,0.12,0.12,0.00,0.12,0.07,0.06,0.13,0.13,13,3,23.1,1.53,0.35,0.00,0.00,20.6,0,0,0.05,-0.6,-0.6,298,373,79.9,5115,1639,144,170,84.7,117,138,84.8,28,52,53.8,0.2,+0.5,8,21,6,3,280,93,5,0,6,17,298,20,2.36,13,1,2,2,0,2,2,0.24,1,0,1,0,0,0,9,7,7,2,0,5,7,71.4,2,4,0,4,6,15,10,0,442,15,105,226,117,10,442,15,8,53.3,6,40.0,209,1173,597,7,1,259,11,24,5,8,38.5
Felipe Aguilar,Defensor,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,7,8,87.5,100,53,3,3,100.0,3,4,75.0,0,0,0,0.0,0.0,0,0,0,0,8,0,0,0,0,0,7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,12,4,6,6,0,0,12,0,0,0,0,0,5,23,0,0,0,5,0,0,1,2,33.3
Emanuel Aguilera,Defensor,0,0,0,0,0.3,0.3,0.0,0.3,3,27,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,6,1,16.7,0.63,0.10,0.00,0.00,11.9,0,0,0.05,-0.3,-0.3,389,479,81.2,8752,3783,101,113,89.4,219,248,88.3,68,108,63.0,0.1,0.0,0,27,0,0,444,33,32,0,11,1,389,7,0.73,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0,6,3,3,2,1,4,7,57.1,3,8,8,0,21,27,51,0,583,69,319,257,9,5,583,2,1,50.0,1,50.0,294,1600,1059,2,0,322,4,45,29,16,64.4
Braian Aguirre,Defensor,0,0,0,0,0.2,0.2,0.1,0.3,7,27,23,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.05,8,1,12.5,1.29,0.16,0.00,0.00,25.7,0,0,0.02,-0.2,-0.2,180,268,67.2,3439,1629,67,83,80.7,86,118,72.9,24,51,47.1,0.2,-0.1,3,18,4,2,215,53,4,0,6,9,180,14,2.26,10,0,3,0,1,0,1,0.16,1,0,0,0,0,0,16,8,10,5,1,8,13,61.5,5,13,5,8,11,27,18,0,363,17,132,181,54,6,363,17,6,35.3,11,64.7,139,581,236,6,1,147,4,34,5,4,55.6
Brian Aguirre,Meio-campista,1,1,2,1,0.6,0.6,0.7,1.3,9,16,27,0.27,0.27,0.54,0.27,0.54,0.17,0.18,0.35,0.35,6,2,33.3,1.61,0.54,0.17,0.50,15.0,0,0,0.11,+0.4,+0.4,74,122,60.7,1174,341,41,52,78.8,17,28,60.7,11,23,47.8,0.1,+0.3,4,5,1,0,108,14,1,0,1,22,74,15,4.03,9,1,3,1,1,0,1,0.27,0,0,0,0,1,0,2,1,1,0,1,1,7,14.3,6,2,0,2,1,3,0,0,161,0,12,82,70,9,161,17,8,47.1,9,52.9,78,597,251,7,2,106,7,14,5,9,35.7
Brian Aguirre,Meio-campista,1,0,1,1,0.5,0.5,0.0,0.5,11,6,22,0.36,0.00,0.36,0.36,0.36,0.17,0.01,0.18,0.18,9,4,44.4,3.24,1.44,0.11,0.25,21.1,1,0,0.05,+0.5,+0.5,42,74,56.8,705,259,21,30,70.0,14,25,56.0,6,11,54.5,0.2,0.0,1,5,5,2,72,2,0,0,0,12,42,6,2.15,2,0,1,2,1,0,1,0.36,0,0,1,0,0,0,4,2,1,3,0,2,5,40.0,3,2,0,2,1,5,2,0,120,3,19,43,59,8,120,24,8,33.3,12,50.0,72,593,256,10,2,80,5,15,4,4,50.0
Federico Aguirre,Atacante,0,0,0,0,0.2,0.2,0.1,0.3,3,5,22,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.11,2,1,50.0,0.72,0.36,0.00,0.00,11.7,0,0,0.08,-0.2,-0.2,37,51,72.5,522,107,20,27,74.1,12,15,80.0,1,1,100.0,0.1,-0.1,5,4,0,0,46,5,0,0,0,0,37,7,2.52,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0,3,2,1,1,1,1,1,100.0,0,2,0,2,0,3,4,0,103,4,13,53,39,6,103,18,1,5.6,15,83.3,64,336,145,2,0,73,8,8,7,8,46.7
Manuel Agustín Duarte,Meio-campista,0,0,0,0,0.6,0.6,0.1,0.7,9,13,8,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.25,0.25,7,2,28.6,2.50,0.71,0.00,0.00,27.1,0,0,0.09,-0.6,-0.6,74,99,74.7,1338,372,39,46,84.8,24,29,82.8,10,19,52.6,0.1,-0.1,5,12,3,1,95,4,1,1,1,5,74,8,2.83,7,0,0,1,0,0,1,0.35,1,0,0,0,0,0,6,6,2,4,0,1,3,33.3,2,5,0,5,2,8,4,0,132,4,21,77,36,2,132,7,3,42.9,4,57.1,83,589,286,5,1,94,1,14,2,6,25.0
