Nome do jogador,Posição do jogador,Minutos jogados,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
José Abella,Defensor,515,0,0,0,0,0.0,0.0,0.2,0.2,1,20,6,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,250,335,74.6,4722,2055,115,123,93.5,98,135,72.6,33,67,49.3,0.2,-0.2,5,23,1,1,255,80,7,0,3,7,250,9,1.57,6,2,0,0,1,0,0,0.0,0,0,0,0,0,0,12,5,9,3,0,7,14,50.0,7,5,3,2,7,19,15,0,380,20,130,194,58,2,380,1,1,100.0,0,0.0,169,515,231,3,0,202,5,24,9,5,64.3
Daniel Aceves,Defensor,98,0,0,0,0,0.2,0.2,0.1,0.3,2,1,6,0.0,0.0,0.0,0.0,0.0,0.21,0.06,0.28,0.28,4,1,25.0,3.67,0.92,0.0,0.0,19.3,0,0,0.06,-0.2,-0.2,50,61,82.0,740,258,25,29,86.2,21,24,87.5,2,6,33.3,0.1,-0.1,1,2,0,0,48,13,1,0,0,2,50,2,1.84,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,3,0,0,2,2,100.0,0,3,2,1,2,5,4,0,83,7,36,23,24,4,83,1,0,0.0,1,100.0,33,89,32,1,0,44,0,1,2,2,50.0
Sergio Aguayo,Atacante,157,1,0,1,1,0.6,0.6,0.5,1.0,1,3,9,0.57,0.0,0.57,0.57,0.57,0.34,0.26,0.6,0.6,6,2,33.3,3.44,1.15,0.17,0.5,13.5,0,0,0.1,0.4,0.4,25,36,69.4,331,42,18,22,81.8,4,6,66.7,2,2,100.0,0.0,-0.5,2,2,1,0,36,0,0,0,0,0,25,4,2.29,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,4,2,0,1,3,0,2,0.0,2,0,0,0,0,4,2,0,59,2,5,23,32,10,59,3,0,0.0,3,100.0,36,162,46,0,0,49,4,3,5,5,50.0
Eduardo Águila,Defensor,721,0,0,0,0,0.1,0.1,0.0,0.1,5,16,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,2,1,50.0,0.25,0.12,0.0,0.0,13.0,0,0,0.07,-0.1,-0.1,357,416,85.8,7924,2894,87,92,94.6,210,227,92.5,59,94,62.8,0.1,0.0,0,27,0,0,404,11,10,0,6,1,357,5,0.62,4,0,0,1,0,0,1,0.12,0,0,0,1,0,0,8,3,6,2,0,6,9,66.7,3,6,4,2,9,17,44,0,496,78,301,194,4,2,496,0,0,0.0,0,0.0,293,1479,700,2,1,337,4,23,15,8,65.2
Eduardo Aguirre,Atacante,770,3,0,3,3,2.6,2.6,0.2,2.8,9,4,27,0.35,0.0,0.35,0.35,0.35,0.3,0.03,0.33,0.33,20,6,30.0,2.34,0.7,0.15,0.5,18.9,0,0,0.13,0.4,0.4,85,127,66.9,1202,185,50,70,71.4,20,25,80.0,8,12,66.7,0.2,-0.2,4,2,0,0,101,25,1,0,0,6,85,14,1.64,6,1,2,0,4,1,1,0.12,0,0,0,0,1,0,6,3,2,2,2,1,5,20.0,4,4,0,4,0,6,7,0,216,7,15,92,113,24,216,11,4,36.4,7,63.6,117,613,196,9,1,148,13,13,22,35,38.6
Érick Aguirre,Defensor,303,0,0,0,0,0.0,0.0,0.2,0.2,6,11,14,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.05,1,0,0.0,0.3,0.0,0.0,0.0,12.8,0,0,0.02,0.0,0.0,141,178,79.2,2452,940,58,66,87.9,69,83,83.1,12,24,50.0,0.1,-0.2,2,14,1,1,142,36,1,0,0,5,141,2,0.59,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,4,6,1,0,4,7,57.1,3,5,1,4,5,12,6,0,203,8,55,99,50,2,203,1,1,100.0,0,0.0,89,358,170,2,0,115,0,12,3,4,42.9
Gaddi Aguirre,Defensor,285,0,0,0,0,0.2,0.2,0.0,0.2,2,6,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,5,1,20.0,1.58,0.32,0.0,0.0,18.1,0,0,0.03,-0.2,-0.2,110,161,68.3,2008,896,51,61,83.6,49,64,76.6,10,31,32.3,0.0,0.0,0,6,0,0,122,39,1,0,0,4,110,4,1.26,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,4,4,3,1,0,2,7,28.6,5,6,4,2,4,8,17,0,202,16,73,97,34,4,202,0,0,0.0,0,0.0,97,326,122,1,0,99,4,16,11,3,78.6
Rodrigo Aguirre,Atacante,284,2,0,2,2,1.1,1.1,0.2,1.3,4,3,15,0.63,0.0,0.63,0.63,0.63,0.36,0.05,0.41,0.41,13,6,46.2,4.12,1.9,0.15,0.33,15.7,0,0,0.09,0.9,0.9,32,50,64.0,442,85,15,22,68.2,14,18,77.8,0,2,0.0,0.2,-0.2,3,4,1,0,47,3,0,0,0,2,32,5,1.58,3,0,2,0,0,0,0,0.0,0,0,0,0,0,0,5,2,2,2,1,2,3,66.7,1,6,0,6,0,5,1,0,101,1,9,49,43,16,101,7,4,57.1,3,42.9,60,391,122,2,2,74,3,8,11,7,61.1
Jorge Agustín Rodríguez,Meio-campista,990,0,0,0,0,0.1,0.1,0.2,0.3,3,68,5,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,6,0,0.0,0.55,0.0,0.0,0.0,31.9,0,0,0.02,-0.1,-0.1,560,646,86.7,10491,3695,234,257,91.1,244,270,90.4,72,98,73.5,0.5,-0.2,8,70,4,1,621,25,21,1,7,3,560,18,1.64,18,0,0,0,0,0,2,0.18,2,0,0,0,0,0,29,17,13,15,1,14,26,53.8,12,12,4,8,14,43,24,0,754,49,218,463,77,1,754,8,5,62.5,2,25.0,377,1319,591,6,0,495,6,62,9,14,39.1
Arnaud Ake,Atacante,234,0,0,0,0,0.1,0.1,0.2,0.3,4,3,21,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.12,1,0,0.0,0.38,0.0,0.0,0.0,10.4,0,0,0.14,-0.1,-0.1,35,51,68.6,485,44,19,22,86.4,11,18,61.1,2,3,66.7,0.2,-0.2,4,1,1,0,43,7,0,0,0,0,35,4,1.54,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,76,1,3,38,38,6,76,2,1,50.0,1,50.0,43,225,80,3,3,59,3,6,4,6,40.0
Jesús Alberto Angulo,Defensor,736,0,3,3,0,0.1,0.1,0.7,0.8,8,48,17,0.0,0.37,0.37,0.0,0.37,0.01,0.09,0.1,0.1,2,2,100.0,0.24,0.24,0.0,0.0,28.6,0,0,0.04,-0.1,-0.1,357,459,77.8,6698,2760,132,144,91.7,177,218,81.2,41,78,52.6,0.3,2.3,10,42,7,3,394,65,8,1,2,14,357,20,2.45,19,0,1,0,0,0,4,0.49,3,0,1,0,0,0,27,17,17,8,2,15,21,71.4,6,7,3,4,16,43,19,0,536,28,173,293,80,2,536,11,5,45.5,5,45.5,260,1176,504,13,1,291,11,60,14,5,73.7
Jesús Alcantar,Defensor,124,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,1,0,0.0,0.73,0.0,0.0,0.0,12.5,0,0,0.01,0.0,0.0,9,14,64.3,198,152,0,0,0.0,9,10,90.0,0,4,0.0,0.0,0.0,0,1,0,0,11,3,0,0,0,0,9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,2,0,0,0,3,0.0,3,3,1,2,2,4,5,0,30,6,20,8,2,1,30,0,0,0.0,0,0.0,3,21,6,0,0,4,0,2,3,4,42.9
Jordy Alcivar,Meio-campista,358,0,0,0,0,0.5,0.5,0.1,0.6,4,16,6,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.15,0.15,3,2,66.7,0.75,0.5,0.0,0.0,29.2,2,0,0.15,-0.5,-0.5,118,154,76.6,2404,747,45,58,77.6,50,60,83.3,21,28,75.0,0.2,-0.1,4,10,2,0,146,7,2,1,2,7,118,9,2.26,6,1,0,1,0,1,1,0.25,1,0,0,0,0,0,2,1,1,1,0,0,4,0.0,4,4,1,3,3,5,4,1,196,5,47,121,32,2,196,8,3,37.5,5,62.5,113,515,243,3,0,114,2,24,1,1,50.0
AlessandroTagle,Defensor,61,0,0,0,0,0.0,0.0,0.2,0.2,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12,16,75.0,239,44,4,6,66.7,5,7,71.4,2,2,100.0,0.2,-0.2,2,1,0,0,12,4,0,0,1,0,12,2,2.95,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,1,0,19,2,4,8,7,2,19,0,0,0.0,0,0.0,7,67,7,0,0,9,0,0,0,0,0.0
Luis Alfonso Rodríguez,Defensor,533,0,0,0,0,0.2,0.2,0.1,0.3,12,45,16,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.05,5,1,20.0,0.84,0.17,0.0,0.0,28.1,0,0,0.03,-0.2,-0.2,318,380,83.7,5769,2299,119,128,93.0,168,195,86.2,26,47,55.3,0.2,-0.1,6,40,3,1,299,81,10,1,3,9,318,11,1.86,8,2,0,1,0,0,0,0.0,0,0,0,0,0,0,22,16,9,13,0,10,20,50.0,10,4,1,3,13,35,11,0,450,13,105,255,95,2,450,10,5,50.0,5,50.0,229,1125,546,11,2,252,4,32,3,4,42.9
Facundo Almada,Defensor,314,0,0,0,0,0.1,0.1,0.1,0.1,1,8,0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.03,1,0,0.0,0.29,0.0,0.0,0.0,11.4,0,0,0.06,-0.1,-0.1,132,158,83.5,2835,1165,37,39,94.9,74,84,88.1,20,32,62.5,0.0,-0.1,1,8,1,0,149,9,5,0,3,1,132,2,0.57,2,0,0,0,0,0,1,0.29,1,0,0,0,0,0,5,4,5,0,0,5,6,83.3,1,3,2,1,2,7,18,1,189,25,101,83,7,1,189,1,1,100.0,0,0.0,104,460,194,0,0,115,1,18,5,1,83.3
Carlos Alonso Vargas,Defensor,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,2,50.0,27,24,0,0,0.0,1,1,100.0,0,1,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0.0,0,0.0,1,9,1,0,0,1,0,1,0,0,0.0
Alfonso Alvarado,Atacante,470,2,0,2,2,1.1,1.1,0.1,1.2,5,8,18,0.38,0.0,0.38,0.38,0.38,0.21,0.02,0.24,0.24,14,5,35.7,2.68,0.96,0.14,0.4,19.9,0,0,0.08,0.9,0.9,59,82,72.0,840,204,35,45,77.8,18,25,72.0,4,7,57.1,0.1,-0.1,2,5,0,0,78,3,0,0,0,1,59,6,1.15,4,0,1,1,0,0,0,0.0,0,0,0,0,0,0,5,2,0,5,0,3,4,75.0,1,2,0,2,0,5,4,0,133,4,13,72,49,10,133,3,2,66.7,1,33.3,71,258,90,4,1,91,1,11,15,10,60.0
Roberto Alvarado,Meio-campista,850,3,3,6,1,2.4,0.9,2.4,3.3,26,44,63,0.32,0.32,0.64,0.11,0.42,0.26,0.26,0.52,0.35,10,2,20.0,1.06,0.21,0.1,0.5,23.2,1,2,0.09,0.6,0.1,288,388,74.2,5142,1341,143,161,88.8,98,126,77.8,41,81,50.6,1.1,0.6,19,34,8,4,342,42,11,1,6,51,288,35,3.71,24,5,3,2,0,1,5,0.53,2,0,1,1,0,1,13,8,5,8,0,5,14,35.7,9,11,2,9,6,19,5,0,496,6,48,228,225,28,494,40,21,52.5,19,47.5,322,1880,754,26,9,347,14,30,4,13,23.5
Ventura Alvarado,Defensor,392,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,152,173,87.9,2938,1128,49,55,89.1,80,90,88.9,19,24,79.2,0.0,0.0,1,7,1,0,164,9,7,0,1,0,152,4,0.92,3,0,0,0,0,1,0,0.0,0,0,0,0,0,0,3,2,2,1,0,2,3,66.7,1,2,2,0,6,9,13,0,202,27,119,81,4,0,202,0,0,0.0,0,0.0,112,506,179,1,1,124,0,11,6,2,75.0
Antonio Álvarez,Meio-campista,11,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6,8,75.0,48,13,5,5,100.0,0,1,0.0,0,0,0.0,0.0,0.0,0,1,0,0,8,0,0,0,0,0,6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0,1,1,0,0,1,0,0,14,1,4,5,5,2,14,3,3,100.0,0,0.0,9,82,24,1,2,9,0,0,0,0,0.0
Daniel Álvarez,Meio-campista,499,0,0,0,0,0.9,0.9,0.2,1.1,16,14,33,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.21,0.21,11,4,36.4,1.98,0.72,0.0,0.0,22.3,0,0,0.08,-0.9,-0.9,94,153,61.4,1378,514,53,69,76.8,31,49,63.3,5,13,38.5,0.1,-0.2,7,11,2,1,140,12,1,0,0,21,94,17,3.07,14,0,2,1,0,0,1,0.18,1,0,0,0,0,0,7,4,3,2,2,3,10,30.0,7,3,0,3,0,7,9,0,217,7,24,84,117,15,217,25,12,48.0,12,48.0,122,871,474,17,7,142,5,20,5,7,41.7
Efrain Alvarez,Atacante,690,1,1,2,1,0.6,0.6,1.8,2.4,19,32,65,0.13,0.13,0.26,0.13,0.26,0.08,0.23,0.31,0.31,15,6,40.0,1.96,0.78,0.07,0.17,21.3,2,0,0.04,0.4,0.4,295,383,77.0,5005,1700,151,170,88.8,106,131,80.9,31,55,56.4,1.6,-0.8,15,24,10,3,353,28,5,3,2,22,295,23,3.0,18,2,2,0,1,0,2,0.26,1,0,1,0,0,0,3,1,1,2,0,1,2,50.0,1,4,0,4,1,4,0,0,447,0,45,210,194,26,447,26,14,53.8,11,42.3,304,1468,603,12,8,348,2,30,0,4,0.0
Gael Álvarez,Atacante,227,0,0,0,0,0.2,0.2,0.1,0.3,12,7,22,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.13,4,0,0.0,1.59,0.0,0.0,0.0,19.0,0,0,0.06,-0.2,-0.2,61,84,72.6,858,193,37,42,88.1,20,25,80.0,3,8,37.5,0.1,-0.1,2,4,0,0,73,10,0,0,0,9,61,8,3.17,6,1,1,0,0,0,0,0.0,0,0,0,0,0,0,7,5,5,1,1,3,10,30.0,7,6,1,5,1,8,1,0,129,2,19,48,63,9,129,14,4,28.6,9,64.3,78,520,253,4,6,83,5,15,0,1,0.0
Jaime Alvarez,Atacante,277,1,0,1,1,0.6,0.6,0.6,1.2,16,5,33,0.32,0.0,0.32,0.32,0.32,0.2,0.19,0.39,0.39,6,4,66.7,1.95,1.3,0.17,0.25,15.3,0,0,0.1,0.4,0.4,101,121,83.5,1575,227,57,61,93.4,36,39,92.3,6,13,46.2,0.5,-0.6,6,1,7,3,116,5,0,0,0,16,101,13,4.21,8,0,4,1,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,2,0.0,2,2,0,2,0,1,0,0,158,1,8,61,94,12,158,16,7,43.8,9,56.3,122,925,459,12,8,122,1,10,1,0,100.0
Kevin Álvarez,Defensor,46,0,0,0,0,0.1,0.1,0.0,0.1,4,1,6,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.2,0.2,2,0,0.0,3.91,0.0,0.0,0.0,24.2,0,0,0.03,-0.1,-0.1,31,38,81.6,443,75,17,19,89.5,12,14,85.7,0,1,0.0,0.1,0.0,1,1,1,1,32,6,0,0,0,3,31,3,5.87,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,2,1,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0,50,0,12,21,18,0,50,5,1,20.0,4,80.0,33,190,111,2,0,30,1,4,0,1,0.0
Luis Amarilla,Atacante,360,0,0,0,0,1.3,0.6,0.4,1.0,4,2,11,0.0,0.0,0.0,0.0,0.0,0.34,0.1,0.44,0.24,8,2,25.0,2.0,0.5,0.0,0.0,20.0,0,1,0.07,-1.3,-0.6,59,90,65.6,803,121,31,44,70.5,24,34,70.6,0,2,0.0,0.1,-0.4,2,3,1,0,80,10,1,0,0,0,59,8,2.0,4,0,2,1,1,0,0,0.0,0,0,0,0,0,0,5,4,1,2,2,3,5,60.0,2,2,1,1,1,6,2,0,128,3,11,76,43,12,127,9,4,44.4,5,55.6,77,359,170,6,4,89,3,13,7,7,50.0
Frankie Amaya,Meio-campista,216,0,1,1,0,0.1,0.1,0.1,0.2,6,17,6,0.0,0.42,0.42,0.0,0.42,0.03,0.05,0.09,0.09,3,0,0.0,1.25,0.0,0.0,0.0,27.9,0,0,0.03,-0.1,-0.1,97,109,89.0,1956,590,32,35,91.4,47,49,95.9,17,23,73.9,0.6,0.9,3,17,2,0,105,4,4,1,1,2,97,9,3.75,7,1,0,0,1,0,1,0.42,1,0,0,0,0,0,7,4,3,4,0,3,7,42.9,4,1,0,1,3,10,7,0,137,5,34,78,28,2,137,1,0,0.0,1,100.0,79,449,221,5,0,94,2,5,1,2,33.3
Fidel Ambríz,Meio-campista,217,0,0,0,0,0.1,0.1,0.0,0.1,3,7,2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,2,1,50.0,0.83,0.41,0.0,0.0,17.7,0,0,0.05,-0.1,-0.1,94,107,87.9,1598,380,37,38,97.4,48,54,88.9,5,8,62.5,0.1,0.0,0,8,1,0,102,5,4,0,0,0,94,1,0.41,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,3,1,5,0,2,4,50.0,2,1,0,1,4,10,4,0,129,5,28,87,15,2,129,0,0,0.0,0,0.0,55,287,123,2,0,83,2,9,4,2,66.7
Fidel Ambríz,Meio-campista,421,0,0,0,0,0.1,0.1,0.0,0.2,9,20,16,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,5,1,20.0,1.07,0.21,0.0,0.0,19.6,0,0,0.03,-0.1,-0.1,194,228,85.1,3703,923,72,85,84.7,94,101,93.1,24,32,75.0,0.1,0.0,2,21,0,0,222,5,3,1,3,1,194,10,2.14,9,0,0,0,0,1,0,0.0,0,0,0,0,0,0,15,10,5,7,3,6,10,60.0,4,6,3,3,6,21,5,0,283,11,62,172,51,7,283,5,3,60.0,2,40.0,166,884,441,7,2,187,0,19,5,10,33.3
Bruno Amione,Defensor,450,0,0,0,0,0.2,0.2,0.1,0.3,10,14,7,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.05,4,1,25.0,0.8,0.2,0.0,0.0,15.0,0,0,0.05,-0.2,-0.2,244,306,79.7,4047,1704,111,121,91.7,119,143,83.2,10,34,29.4,0.1,-0.1,2,5,1,0,253,53,8,0,1,5,244,5,1.0,3,0,0,2,0,0,1,0.2,1,0,0,0,0,0,14,8,10,4,0,10,13,76.9,3,13,4,9,6,20,11,0,358,29,169,161,32,9,358,10,0,0.0,9,90.0,189,869,457,6,1,217,6,25,8,3,72.7
Alejandro Andrade,Meio-campista,186,0,0,0,0,0.0,0.0,0.0,0.1,0,8,1,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.03,1,1,100.0,0.48,0.48,0.0,0.0,14.8,0,0,0.04,0.0,0.0,30,45,66.7,538,168,7,11,63.6,19,21,90.5,2,4,50.0,0.0,0.0,1,4,0,0,45,0,0,0,0,1,30,3,1.45,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,5,2,2,2,1,2,4,50.0,2,1,1,0,2,7,4,0,63,5,19,33,12,1,63,2,1,50.0,1,50.0,29,56,23,0,0,21,1,11,3,0,100.0
Brayan Angulo,Defensor,981,0,2,2,0,0.4,0.4,0.5,0.9,23,46,28,0.0,0.18,0.18,0.0,0.18,0.03,0.05,0.08,0.08,6,1,16.7,0.55,0.09,0.0,0.0,17.4,0,0,0.06,-0.4,-0.4,412,540,76.3,7337,3160,181,208,87.0,193,232,83.2,33,78,42.3,1.4,1.5,8,41,10,5,434,103,8,1,6,25,412,29,2.66,23,2,1,2,1,0,5,0.46,2,1,0,2,0,0,21,10,10,8,3,11,14,78.6,3,7,3,4,16,37,29,0,662,33,190,357,132,9,662,33,15,45.5,17,51.5,338,2071,1141,16,3,362,8,71,11,9,55.0
Jesús Angulo,Meio-campista,452,1,2,3,1,0.8,0.8,1.7,2.5,9,27,17,0.2,0.4,0.6,0.2,0.6,0.17,0.34,0.5,0.5,7,3,42.9,1.39,0.6,0.14,0.33,21.6,0,0,0.12,0.2,0.2,184,232,79.3,3364,1017,91,107,85.0,52,60,86.7,32,47,68.1,1.4,0.3,18,26,7,0,201,27,7,1,7,19,184,24,4.78,14,8,1,1,0,0,3,0.6,2,1,0,0,0,0,5,5,3,2,0,2,5,40.0,3,1,0,1,2,7,0,0,266,0,24,133,112,12,266,11,6,54.5,5,45.5,166,913,423,7,1,207,3,16,1,1,50.0
Uriel Antuna,Atacante,231,0,0,0,0,1.2,1.2,0.3,1.5,3,9,33,0.0,0.0,0.0,0.0,0.0,0.48,0.12,0.6,0.6,6,4,66.7,2.34,1.56,0.0,0.0,12.7,0,0,0.21,-1.2,-1.2,60,77,77.9,936,232,32,36,88.9,21,26,80.8,4,7,57.1,0.4,-0.3,5,5,4,2,76,1,0,1,1,7,60,8,3.12,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,0,5,0,0,0,0,107,0,2,28,77,13,107,3,0,0.0,3,100.0,59,251,98,3,2,83,1,6,0,4,0.0
Uriel Antuna,Atacante,255,0,1,1,0,0.2,0.2,0.8,1.0,9,8,37,0.0,0.35,0.35,0.0,0.35,0.08,0.27,0.35,0.35,3,3,100.0,1.06,1.06,0.0,0.0,11.8,0,0,0.07,-0.2,-0.2,74,104,71.2,1171,283,40,52,76.9,25,33,75.8,4,11,36.4,0.5,0.2,6,4,7,5,102,2,0,0,1,19,74,11,3.88,11,0,0,0,0,0,1,0.35,1,0,0,0,0,0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,3,0,124,1,7,43,74,11,124,3,0,0.0,2,66.7,70,316,202,1,1,101,6,9,2,3,40.0
Javier Aquino,Defensor,841,0,0,0,0,0.1,0.1,0.6,0.7,17,75,49,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.08,3,1,33.3,0.32,0.11,0.0,0.0,25.7,0,0,0.04,-0.1,-0.1,484,629,76.9,8630,3969,220,246,89.4,204,260,78.5,50,92,54.3,0.6,-0.6,6,69,13,8,505,121,9,0,1,31,484,24,2.57,19,4,1,0,0,0,2,0.21,1,1,0,0,0,0,40,25,25,13,2,23,39,59.0,16,6,1,5,13,53,21,0,726,29,214,336,182,7,726,12,9,75.0,1,8.3,334,1614,881,14,2,407,13,47,12,8,60.0
Pedro Aquino,Meio-campista,34,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,13,17,76.5,258,99,4,6,66.7,7,9,77.8,2,2,100.0,0.0,0.0,0,1,0,0,14,3,3,0,1,0,13,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,22,2,13,8,1,0,22,0,0,0.0,0,0.0,11,44,30,0,0,15,1,3,2,0,100.0
Maximiliano Araújo,Atacante,103,1,0,1,1,0.5,0.5,0.1,0.6,2,2,8,0.87,0.0,0.87,0.87,0.87,0.46,0.06,0.52,0.52,4,1,25.0,3.5,0.87,0.25,1.0,17.0,0,0,0.13,0.5,0.5,20,32,62.5,284,52,10,14,71.4,9,13,69.2,0,3,0.0,0.1,-0.1,1,1,0,0,30,1,1,0,0,2,20,4,3.5,3,0,1,0,0,0,2,1.75,2,0,0,0,0,0,2,1,0,1,1,1,2,50.0,1,1,0,1,0,2,1,0,53,1,12,13,29,7,53,5,2,40.0,3,60.0,39,257,102,5,0,41,5,5,1,0,100.0
