Nome do jogador,Posição do jogador,Minutos jogados,Gols sofridos,Gols sofridos por 90 minutos,Chutes a gol sofridos,Defesas,Porcentagem de defesas,Partidas sem gols sofridos,Porcentagem de partidas sem gols sofridos,Pênaltis batidos contra o goleiro,Gols de pênalti convertidos contra o goleiro,Chutes de pênaltis salvos,Chutes de pênaltis perdidos,Porcentagem de defesas em pênaltis,Gols sofridos de tiros diretos,Gols sofridos de escanteio,Probabilidade de Gols Após Chutes Defendidos (PSxG - Gols Esperados Pós Chute),Probabilidade de Gols em Chutes no Alvo (PSxG por Chute no Alvo),Eficiência do Goleiro: Gols Esperados Menos Gols Sofridos (PSxG-GA),Eficiência do Goleiro por 90 Minutos: Gols Esperados Menos Gols Sofridos (PSxG-GA/90),Lançamentos concluídos (maiores que 40 jardas),Lançamentos tentados (maiores que 40 jardas),Porcentagem de lançamentos concluídos (maiores que 40 jardas),Passes Tentados pelo Goleiro (Exceto Tiros de Meta),Lançamentos de Mão Tentados pelo Goleiro,Porcentagem de Passes Lançados (Exceto Tiros de Meta),Comprimento Médio dos Passes (Exceto Tiros de Meta),Tiros de Meta Tentados,Porcentagem de Tiros de Meta Lançados,Comprimento Médio dos Tiros de Meta,Cruzamentos Enfrentados,Cruzamentos Interceptados pelo Goleiro,Porcentagem de Cruzamentos Interceptados pelo Goleiro,Ações Defensivas Fora da Área de Pênalti,Ações Defensivas Fora da Área de Pênalti por 90 Minutos,Distância Média das Ações Defensivas
Carlos Miguel,Goleiro,540,7,1.17,29,24,79.3,2,33.3,1,1,0,0,0.0,0,0,7.1,0.21,2.1,0.35,33,66,50.0,139,26,29.5,32.5,46,54.3,43.8,98,4,4.1,6,1.0,13.7
Mycael,Goleiro,485,5,0.93,28,23,82.1,1,20.0,0,0,0,0,0.0,0,0,6.7,0.24,1.7,0.32,25,65,38.5,104,19,43.3,35.9,38,52.6,43.5,76,0,0.0,1,0.19,7.7
Mateus Pasinato,Goleiro,90,0,0.0,3,3,100.0,1,100.0,0,0,0,0,0.0,0,0,0.5,0.18,0.5,0.53,7,15,46.7,15,4,40.0,33.0,11,81.8,51.5,14,0,0.0,0,0.0,4.7
Rafael Pires,Goleiro,1440,16,1.0,52,37,73.1,6,37.5,2,2,0,0,0.0,0,4,13.9,0.24,-1.1,-0.07,61,144,42.4,334,53,29.6,31.8,107,42.1,34.7,168,9,5.4,8,0.5,12.8
Pedro Rangel,Goleiro,450,10,2.0,29,19,72.4,1,20.0,2,2,0,0,0.0,0,2,9.9,0.3,-0.1,-0.02,28,70,40.0,138,18,38.4,36.4,34,50.0,43.1,67,6,9.0,5,1.0,14.3
João Ricardo Riedi,Goleiro,2520,26,0.93,145,119,84.1,9,32.1,3,3,0,0,0.0,0,6,36.6,0.24,10.6,0.38,147,372,39.5,512,108,49.6,39.6,215,54.9,43.5,490,31,6.3,12,0.43,10.3
Sergio Rochet,Goleiro,1530,15,0.88,58,43,74.1,4,23.5,0,0,0,0,0.0,0,0,15.2,0.26,0.2,0.01,69,206,33.5,368,57,43.8,35.9,93,48.4,38.9,203,20,9.9,26,1.53,15.2
Ronaldo,Goleiro,2069,34,1.48,98,65,68.4,3,13.0,4,3,1,0,25.0,1,3,30.3,0.27,-1.7,-0.07,122,300,40.7,434,69,43.3,37.1,182,61.5,45.9,329,22,6.7,18,0.78,13.9
Agustín Rossi,Goleiro,2250,29,1.16,86,57,68.6,4,16.0,4,2,1,1,33.3,0,7,31.6,0.34,3.6,0.14,106,261,40.6,760,115,28.4,31.2,137,32.8,32.7,315,33,10.5,14,0.56,12.8
Cleiton Schwengber,Goleiro,1889,28,1.33,108,79,74.1,2,9.1,2,0,2,0,100.0,0,3,33.3,0.3,6.3,0.3,100,292,34.2,554,96,45.8,38.4,138,27.5,31.6,325,21,6.5,40,1.91,16.2
Hugo Souza,Goleiro,1080,14,1.17,63,49,84.1,3,25.0,4,4,0,0,0.0,0,1,18.7,0.24,4.7,0.39,38,110,34.5,231,58,35.1,32.8,81,35.8,33.5,149,7,4.7,8,0.67,14.8
Walter,Goleiro,2340,39,1.5,133,94,74.4,5,19.2,5,5,0,0,0.0,1,5,41.3,0.28,2.3,0.09,136,289,47.1,509,103,35.8,34.1,204,52.5,41.2,444,17,3.8,10,0.38,10.6
Wéverton,Goleiro,2430,18,0.67,109,92,84.4,13,48.1,2,1,0,1,0.0,2,0,29.9,0.27,12.9,0.48,111,366,30.3,681,138,42.3,38.2,176,44.3,40.6,323,31,9.6,22,0.81,14.2
